Data Table,,,,,,
Name,,1,2,3,4,5
White Tablecloth,1,426.585,301.1445,547.4069,434.9614,125.5632
,2,9.74E+01,2.49E+01,4.99E+01,7.42E+01,3.05E+01
,3,153.2395,112.2266,129.0779,150.0797,8.19E+01
,,,,,,
Density,,,,,,0.128
,,,,,,
Name,,1,2,3,4,5
Gray Interlocks,1,214.1622,304.1104,317.7246,360.2761,215.9268
,2,8.06E+01,6.07E+01,5.33E+01,8.17E+01,2.89E+01
,3,119.7493,5.92E+01,121.8268,207.0164,162.6892
,,,,,,
Density,,,,,,0.22
,,,,,,
Name,,1,2,3,4,5
Black Denim,1,295.1041,277.1289,280.1503,287.0009,9.11E+01
,2,706.2234,574.259,587.8165,656.7389,346.7716
,3,620.3647,690.0892,723.4425,771.4904,510.4954
,,,,,,
Density,,,,,,0.348
,,,,,,
Name,,1,2,3,4,5
Deep Brown Shirt,1,363.2007,256.3988,466.0703,370.3325,106.9064
,2,363.1771,9.29E+01,186.2161,276.8387,113.6768
,3,110.8141,8.12E+01,9.33E+01,108.5291,5.93E+01
,,,,,,
Density,,,,,,0.136
,,,,,,
Name,,1,2,3,4,5
T-shirt,1,118.9392,168.8937,176.4546,200.0865,119.9192
,2,168.1819,126.7401,111.2418,170.5319,6.02E+01
,3,5.02E+01,2.48E+01,5.11E+01,8.68E+01,6.82E+01
,,,,,,
Density,,,,,,0.155
,,,,,,
Name,,1,2,3,4,5
Brown Jean,1,533.3507,500.8637,506.3242,518.7055,164.7056
,2,172.3788,140.1682,143.4774,160.3003,8.46E+01
,3,472.8643,526.01091,551.434,588.0578,389.118
,,,,,,
Density,,,,,,0.326
,,,,,,
Name,,1,2,3,4,5
Sparkle Fleece,1,300.8732,189.7227,181.0577,180.8037,106.4142
,2,202.3347,189.0788,177.7668,125.5836,4.56E+01
,3,230.7677,199.8939,155.4507,117.8579,6.59E+01
,,,,,,
Density,,,,,,0.264
,,,,,,
Name,,1,2,3,4,5
Pink Nylon,1,304.1042,284.3002,352.4982,279.5309,174.9656
,2,296.8612,318.4258,310.4231,242.4596,9.77E+01
,3,257.5626,255.9709,255.7589,252.7435,123.8005
,,,,,,
Density,,,,,,0.195
,,,,,,
Name,,1,2,3,4,5
Ponte Roma,1,183.8762,250.8394,231.4065,239.8511,104.8505
,2,166.67,150.1668,177.2235,171.8587,7.29E+01
,3,187.9291,172.5026,168.062,175.4264,5.28E+01
,,,,,,
Density,,,,,,0.265
,,,,,,
Name,,1,2,3,4,5
Red Violet,1,7.22E+01,4.52E+01,151.6396,182.1998,9.28E+01
,2,110.9372,113.3481,9.30E+01,9.90E+01,6.10E+01
,3,102.8207,114.6134,7.93E+01,6.80E+01,3.82E+01
,,,,,,
Density,,,,,,0.135
